url;erreur;pages concernees
http://aideukraine.fr/;HTTPError: HTTP Error 404: Not Found;26.html | 28.html
http://dnmchs.ru/post/2686;URLError: <urlopen error timed out>;31.html
http://easyrusse.com/karta_ada;HTTPError: HTTP Error 403: Forbidden;banque-ada.html
http://easyrusse.com/vremennaia_zachita_vo_francii;HTTPError: HTTP Error 403: Forbidden;38.html
http://fromukrainetoportugal.com/;HTTPError: HTTP Error 405: Not Allowed;27.html
http://infohelpua.com;URLError: <urlopen error [Errno -3] Temporary failure in name resolution>;27.html
http://infohelpua.com/;URLError: <urlopen error [Errno -3] Temporary failure in name resolution>;16.html
http://infohelpua.com/#job;URLError: <urlopen error [Errno -3] Temporary failure in name resolution>;61.html
http://mailto:contact@ecolefair.org;InvalidURL: nonnumeric port: 'contact@ecolefair.org';35.html
http://refugees-welcomeni.co.uk/;URLError: <urlopen error [Errno -2] Name or service not known>;neofitsine-zhitlo.html
http://services.ratp.fr/fr/ratp/r_29246/dans-le-reseau-ratp/;URLError: <urlopen error [Errno -2] Name or service not known>;navigo.html
http://shukaty.com/;URLError: <urlopen error [Errno -2] Name or service not known>;31.html
http://www.annuaires.justice.gouv.fr/;HTTPError: HTTP Error 400: Bad request;11.html
http://www.annuaires.justice.gouv.fr/annuaires-12162/annuaire-des-maisons-de-justice-et-du-droit-21773.html;HTTPError: HTTP Error 400: Bad request;advocat.html
http://www.arrue-associes.ru/;URLError: <urlopen error [Errno -2] Name or service not known>;advocat.html
http://www.interior.gob.es/es/web/servicios-al-ciudadano/ucrania-proteccion-temporal;HTTPError: HTTP Error 403: Forbidden;27.html
http://www.justice.gouv.fr/bo/2022/20220429/JUSF2210333N.pdf;HTTPError: HTTP Error 400: Bad request;mineur-non-accompagne.html
http://www.leboncoin.fr/;HTTPError: HTTP Error 403: Forbidden;53.html
http://www.litvinski.com/;HTTPError: HTTP Error 406: Not Acceptable;advocat.html
http://zaichenkoteam.com/;HTTPError: HTTP Error 403: Forbidden;61.html
https://accueil-integration-refugies.fr/wp-content/uploads/2022/03/Acce%CC%81der-a%CC%80-un-centre-de-soin-psychologique.pdf;HTTPError: HTTP Error 404: Not Found;soigner-psy.html
https://accueil-integration-refugies.fr/wp-content/uploads/2022/03/Inscrire-a-la-Caisse-dallocations-familiales.pdf;HTTPError: HTTP Error 404: Not Found;caf.html
https://accueil-integration-refugies.fr/wp-content/uploads/2022/03/Inscrire-ses-enfants-a%CC%80-lecole.pdf;HTTPError: HTTP Error 404: Not Found;mineur-ecole.html
https://accueil-integration-refugies.fr/wp-content/uploads/2022/03/Prendre-un-rendez-vous-medical-sur-Doctolib.pdf;HTTPError: HTTP Error 404: Not Found;soigner-avec.html
https://api.tribefy.com/share/BpYjEAHeOxLH49Ild1M9A/2xZziBTncob;URLError: <urlopen error [Errno -5] No address associated with hostname>;28.html
https://apprendre.tv5monde.com/fr/exercices/premiere-classe;HTTPError: HTTP Error 403: Forbidden;34.html
https://apps.apple.com/fr/app/too-good-to-go/id1060683933;HTTPError: HTTP Error 429: Too Many Requests;iest-france.html | iest-paris.html
